question_name,url_id
플그 사이트 학생인증하면 자꾸 학교관련 사이트 로그인 되어있는지 확인하라고 뜨는데 다 로그아웃 하고 다시해봐도 안되네 혹시 어떻게 하는지 아는사란,/191875915
플그 사이트 학생인증하면 자꾸 학교관련 사이트 로그인 되어있는지 확인하라고 뜨는데 다 로그아웃 하고 다시해봐도 안되네 혹시 어떻게 하는지 아는사란,/191802301
"졸업요건으로 토익 성적 제출해야하잔아
이거 이멜로 보내도 되나??
도저히 학교갈 시간이 안나는데ㅠㅠ",/191246505
"엇학기 복학이라 이번이 막학기인데
6월에 성적처리만 끝나면 자동 졸업이야?
졸업식은 8월이던데

내가 체크했을 땐 졸업요건 다 만족하는데
정말 학교 측억서 응 너 졸업.
이건 언제 어디서 확인 가능해?
기말 끝나면 졸업했다고 보는거야?",/187924819
"토익 면제인가요?? 취업은했는데 사정상 아직 토익본적이 ㄹㅇ 한번도 없고 이거땜에 준비하기도 뭐한데 인텐시브잉글리쉬 저번 학기때 들었었거든요
그럼 영문과도 토익 점수 제출안해도 졸업요건충족인가여??",/186887975
한담에 초과학기 가능함?,/182858198
"복전하시는 분 계신가요 ?
저희 그럼 졸업요건이
전필 + 전선 = 15+ 24 , 복필 + 복선 = 15+ 24 학점만 채우면되는거 맞죠 ??
교양은 다 채운걸로 인정됐구용
제발 알려주실분 계신가요
여기저기찾아봐도 이렇게밖에 안뜨는데
확실한건지 불안해요ㅜㅜ",/181372732
"이번에 온 신입생입니당
이미 취득한 토익성적이 있는데 졸업요건은 넘어서요!
미리 제출하면 후에 인증하지 않아도 무관한가요?",/180524790
복전해도 교선1은 똑같은 학점 들어야 졸업요건인가?,/180158422
토익 유효기한이 2년인걸로 아는데 졸업여건에는 더 봐주는거 있나요?,/179569195
"토익 졸업 인증을 1학년때 끝내도 인증이 될까요??
1학년때 하면 졸업전에 토익 점수가 만료되서 혹시 그대로 계속 인증되는지 궁금합니다!!",/176662965
고전독서랑 토익 말고 없지? 학점 다채우면,/176423381
저런거 따로있어?? 세계사는 졸업요건이고 영어듣긴가? 이거도 졸업요건인가?,/175669206
사이트 왜 막힘?,/173134833
"아니 이 ㅈ같은 학교는 세계사를 졸업요건으로 달아놓고 이렇게 매년 여석 꽉차고도 못 듣는 사람들이 많으면 여석을 늘리던 수업을 늘리던 교수를 늘리던해서 졸업할 수있게 조치를 해줘야하는거 아니냐 어떻게 매년 안변하고 똑같냐 이러려고 매학기마다 몇백씩 쳐주는줄아나?
씨발학교는 일부러 초과학기시켜서 돈받아쳐먹을생각밖에없는거냐??",/172274864
졸업요건 아닌데 신청했는데 그냥 들을만 하나?,/171204108
이것도 졸업요건인 21학점에 포함됨?,/169468277
그 사이트에서 공학인증 검사하려했더니 ㅈㅈㅌ은 아직 확인이 안되네 이거 언제 업데이트 되는지 아는사람?,/168389245
막학기인데 얼마나 충족되었는지 뭘 더 들어야되는지 확인 할 수 있는 방법없나? 나를 못믿겠음...,/168375799
"제가 막학기인데 남은학점은 3학점밖에 안됩니다. 그러면 이분 막학기이 3학점만 들어도 되는 건가요???

그리고 졸업요건 충족하는지 어디서 확인가능한가요?? 학사정보시스템에서 하나요??",/167734830
"워낙 고학번이라 너무바뀌어서 편람을 뜯어먹어도 뭐를 얼마나 채워야 하는지 모르겠다..
이런거 도와주는 데가 있을까??",/167691399
